,2017-09-01,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,19.86,8.74,11.77,15.86,11.22,17.19
Expenses,12.79,8.1,10.96,15.07,10.4,16.16
Operating Profit,7.07,0.64,0.81,0.79,0.82,1.03
OPM %,35.6,7.32,6.88,4.98,7.31,5.99
Other Income,0.23,0.0,0.0,0.01,0.01,0.0
Interest,0.75,0.02,0.03,0.03,0.02,0.0
Depreciation,0.58,0.36,0.36,0.36,0.39,0.32
Profit before tax,5.97,0.26,0.42,0.41,0.42,0.71
Tax %,0.17,26.92,23.81,26.83,26.19,25.35
Net Profit,5.96,0.2,0.32,0.31,0.31,0.53
EPS in Rs,4.61,0.12,0.19,0.18,0.18,0.31
