,2009-03-01,2010-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,29.26,39.52,16.16,29.34,37.83,44.25,42.24,33.78,33.17,45.02
Expenses,28.28,38.54,9.81,16.54,23.77,27.44,30.57,31.74,27.54,42.89
Operating Profit,0.98,0.98,6.35,12.8,14.06,16.81,11.67,2.04,5.63,2.13
OPM %,3.35,2.48,39.29,43.63,37.17,37.99,27.63,6.04,16.97,4.73
Other Income,0.09,0.09,-0.17,0.05,2.07,0.08,0.06,0.06,-3.46,0.02
Interest,0.01,0.1,1.48,2.14,1.5,1.04,0.18,0.11,0.15,0.11
Depreciation,0.02,0.22,1.15,1.19,1.28,1.29,1.42,1.47,1.47,1.43
Profit before tax,1.04,0.75,3.55,9.52,13.35,14.56,10.13,0.52,0.55,0.61
Tax %,17.31,30.67,0.28,-0.21,-0.15,0.62,0.39,25.0,40.0,24.59
Net Profit,0.86,0.53,3.54,9.54,13.36,14.48,10.09,0.39,0.32,0.46
EPS in Rs,1.61,0.99,3.39,7.38,9.9,9.22,6.42,0.25,0.2,0.27
