,2009-03-01,2010-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.33,5.33,10.43,12.93,13.5,15.71,15.71,15.71,15.71,17.04,17.04
Reserves,1.24,10.88,-2.03,9.21,32.68,50.43,60.52,60.91,61.23,64.61,65.45
Preference Capital,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Borrowings,0.0,9.57,13.94,10.94,10.9,1.41,1.3,1.03,1.25,0.62,0.71
Other Liabilities,3.02,4.38,7.0,16.51,13.4,15.3,15.46,14.61,12.44,14.27,18.3
Total Liabilities,9.59,30.16,29.34,49.59,70.48,82.85,92.99,92.26,90.63,96.54,101.5
Fixed Assets,0.08,18.54,17.12,17.32,17.71,20.85,21.25,19.87,18.53,16.85,16.15
CWIP,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.07,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.01,0.01
Other Assets,9.51,11.62,12.22,32.25,49.26,62.0,71.74,72.31,72.09,79.68,85.34
Total Assets,9.59,30.16,29.34,49.59,70.48,82.85,92.99,92.26,90.63,96.54,101.5
