,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,13.31,6.98,16.21,10.55,15.08,18.65,18.61,20.92,30.09
Expenses,13.78,6.03,21.15,7.59,11.53,13.96,14.43,15.44,24.38
Operating Profit,-0.47,0.95,-4.94,2.96,3.55,4.69,4.18,5.48,5.71
OPM %,-3.53,13.61,-30.48,28.06,23.54,25.15,22.46,26.2,18.98
Other Income,0.07,0.58,0.03,0.1,0.21,0.02,0.07,0.03,0.1
Interest,1.63,1.39,1.42,1.32,1.49,1.93,1.39,2.28,1.72
Depreciation,0.92,1.2,1.31,1.23,1.23,1.23,1.23,1.22,1.22
Profit before tax,-2.95,-1.06,-7.64,0.51,1.04,1.55,1.63,2.01,2.87
Tax %,-6.44,-23.58,-2.62,33.33,20.19,17.42,14.11,15.92,16.72
Net Profit,-3.14,-1.3,-7.84,0.34,0.83,1.28,1.41,1.69,2.39
EPS in Rs,-0.28,-0.08,-0.75,0.03,0.08,0.12,0.13,0.16,0.23
