,Mar 2022,Mar 2023,TTM
Sales,36.59,62.89,88.27
Expenses,41.03,47.5,68.21
Operating Profit,-4.44,15.39,20.06
OPM %,-12.13,24.47,22.73
Other Income,0.67,0.39,0.22
Interest,4.44,6.13,7.32
Depreciation,3.43,4.9,4.90
Profit before tax,-11.64,4.75,8.06
Tax %,-5.41,18.74,
Net Profit,-12.27,3.86,6.77
EPS in Rs,-1.17,0.37,0.64
