,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.04,10.0,10.41,12.8,16.11,16.04
Expenses,8.73,8.14,10.05,11.27,13.97,13.48
Operating Profit,2.31,1.86,0.36,1.53,2.14,2.56
OPM %,20.92,18.6,3.46,11.95,13.28,15.96
Other Income,0.03,0.13,0.12,0.01,0.02,0.03
Interest,0.24,0.26,0.24,0.24,0.28,0.35
Depreciation,0.13,0.23,0.09,0.05,0.62,0.92
Profit before tax,1.97,1.5,0.15,1.25,1.26,1.32
Tax %,24.87,26.0,33.33,28.8,19.05,
Net Profit,1.48,1.12,0.11,0.89,1.02,1.07
EPS in Rs,21.23,16.07,1.58,1.42,1.14,1.20
