,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.7000000000000001,0.7000000000000001,0.7000000000000001,6.27,8.97,8.97
Reserves,5.09,6.2,6.31,1.5,7.91,8.26
Borrowings,1.21,1.73,2.92,1.94,2.64,3.45
Other Liabilities,2.29,3.28,7.27,8.9,6.55,12.26
Total Liabilities,9.29,11.91,17.2,18.61,26.07,32.94
Fixed Assets,0.44,0.23,0.15,1.43,0.88,4.09
CWIP,2.76,4.18,7.0,7.3,11.09,9.25
Investments,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,6.09,7.5,10.05,9.88,14.1,19.6
Total Assets,9.29,11.91,17.2,18.61,26.07,32.94
