,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,20,20,40,40,160,160,160,160,160,160
Reserves,424,522,747,915,911,1154,1296,1710,2318,2686
Borrowings,0,0,0,0,0,0,79,105,84,67
Other Liabilities,718,895,1040,1365,1523,1928,1618,1909,2526,2637
Total Liabilities,1162,1437,1826,2319,2594,3241,3153,3884,5089,5550
Fixed Assets,155,159,170,190,182,285,311,335,351,333
CWIP,16,14,17,8,40,16,24,26,34,43
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,990,1264,1639,2122,2372,2941,2818,3522,4704,5174
Total Assets,1162,1437,1826,2319,2594,3241,3153,3884,5089,5550
