,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,51.0,43,70,137,115,125,245,111,118
Inventory Days,15.0,13,11,11,23,26,50,27,18
Days Payable,62.0,80,237,218,568,451,4492,2391,1595
Cash Conversion Cycle,4.0,-24,-157,-70,-430,-300,-4197,-2252,-1459
Working Capital Days,-20.0,-51,-35,-10,-65,-35,-128,-25,5
ROCE %,,63,54,40,44,62,16,51,59
