,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.29,12.57,12.57,12.57,12.57,12.57,12.57
Reserves,7.34,3.89,6.72,8.64,13.54,19.49,21.64
Borrowings,1.76,1.46,5.07,6.69,6.51,9.33,11.75
Other Liabilities,2.56,4.47,18.16,18.46,21.66,35.72,41.24
Total Liabilities,17.95,22.39,42.52,46.36,54.28,77.11,87.2
Fixed Assets,2.8,2.66,12.24,11.43,9.68,9.52,9.55
CWIP,0.0,0.0,0.29,0.49,0.65,0.96,0.8300000000000001
Investments,2.16,2.49,2.11,1.27,0.0,0.0,0.0
Other Assets,12.99,17.24,27.88,33.17,43.95,66.63,76.82
Total Assets,17.95,22.39,42.52,46.36,54.28,77.11,87.2
