,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,3.46,1.85,-8.16,6.95,-2.23,1.85
Cash from Investing Activity,-10.9,-0.99,-2.7,-2.18,2.24,-1.84
Cash from Financing Activity,4.48,-0.76,10.77,-4.72,-0.36,1.38
Net Cash Flow,-2.96,0.1,-0.09,0.05,-0.35,1.39
