,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,33.08,57.25,30.74,52.47,68.97,99.74,94.78
Expenses,31.34,54.52,27.74,46.75,62.73,90.44,85.75
Operating Profit,1.74,2.73,3.0,5.72,6.24,9.3,9.03
OPM %,5.26,4.77,9.76,10.9,9.05,9.32,9.53
Other Income,0.19,1.25,1.25,0.65,1.45,1.52,-0.23
Interest,0.2,0.48,0.7,1.16,1.3,1.65,1.73
Depreciation,0.1,0.16,0.48,1.26,1.24,1.27,1.27
Profit before tax,1.63,3.34,3.07,3.95,5.15,7.9,5.80
Tax %,9.2,7.49,11.73,10.63,9.51,7.72,
Net Profit,1.47,1.87,2.71,3.53,4.66,7.29,5.75
EPS in Rs,0.12,0.15,0.2,0.25,0.33,0.55,0.46
