,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-5.96,5.59,19.08,10.63,-12.21,19.08,14.13,5.72,4.67,11.08,-1.59,4.96
Cash from Investing Activity,-5.68,-0.47,-1.59,-3.22,-9.87,-4.26,3.98,-10.63,-19.4,0.12,50.69,8.55
Cash from Financing Activity,14.33,-5.46,-15.78,-7.51,22.06,-15.06,-14.02,8.12,7.56,-11.03,-49.39,-13.49
Net Cash Flow,2.69,-0.34,1.71,-0.1,-0.02,-0.24,4.09,3.21,-7.16,0.17,-0.3,0.02
