,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,60.98,60.98,60.98,60.98
FIIs,6.83,6.55,6.17,5.64
Public,31.32,31.59,31.98,32.51
Others,0.88,0.88,0.88,0.88
No. of Shareholders,65500.0,68270.0,67092.0,65781.0
