,Mar 2022,Mar 2023,TTM
Sales,104,82.0,59
Expenses,99,49.0,41
Operating Profit,6,33.0,18
OPM %,5,40.0,30
Other Income,-79,-1.0,-6
Interest,6,4.0,6
Depreciation,21,20.0,19
Profit before tax,-100,8.0,-14
Tax %,-3,46.0,
Net Profit,-103,4.0,-15
EPS in Rs,,0.21,-0.78
