,2021-12-01,2022-03-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,52.32,25.73,26.17,15.71,16.22,15.03,12.03
Expenses,61.60,34.43,11.21,7.06,13.89,9.88,10.42
Operating Profit,-9.28,-8.70,14.96,8.65,2.33,5.15,1.61
OPM %,-17.74,-33.81,57.16,55.06,14.36,34.26,13.38
Other Income,2.74,-18.82,20.74,0.25,-8.26,0.91,1.47
Interest,7.46,0.23,8.14,1.83,1.39,1.61,1.39
Depreciation,5.35,5.02,4.85,4.79,4.85,4.81,4.95
Profit before tax,-19.35,-32.77,22.71,2.28,-12.17,-0.36,-3.26
Tax %,16.59,-1.86,13.12,33.77,2.05,-211.11,-20.25
Net Profit,-16.14,-33.38,19.73,1.51,-11.92,-1.12,-3.92
EPS in Rs,,,0.99,0.08,-0.6,-0.06,-0.2
