,2023-03-01
Depreciation,0.01
EPS in Rs,0.12
Expenses,0.62
Interest,0.01
Net Profit,0.12
OPM %,8.82
Operating Profit,0.06
Other Income,0.12
Profit before tax,0.16
Sales,0.68
Tax %,25.0
