,2022-03-01,2023-03-01,2023-09-01
Promoters,41.05,39.41,38.93
FIIs,2.23,6.36,7.15
DIIs,5.63,3.63,5.95
Public,51.08,50.62,47.97
No. of Shareholders,93922.0,78786.0,72897.0
