,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,160.0,188.0,239.0,240.0,341.0,520.0,617.0,665
Expenses,137.0,157.0,196.0,198.0,260.0,415.0,493.0,534
Operating Profit,23.0,31.0,42.0,42.0,80.0,105.0,123.0,130
OPM %,14.0,16.0,18.0,17.0,24.0,20.0,20.0,20
Other Income,0.0,3.0,0.0,2.0,1.0,3.0,4.0,-26
Interest,3.0,3.0,5.0,6.0,6.0,6.0,2.0,3
Depreciation,1.0,2.0,3.0,4.0,4.0,10.0,12.0,14
Profit before tax,19.0,28.0,35.0,35.0,72.0,91.0,112.0,87
Tax %,35.0,35.0,34.0,21.0,25.0,21.0,26.0,
Net Profit,12.0,18.0,23.0,27.0,54.0,72.0,83.0,55
EPS in Rs,80.33,123.33,22.19,26.16,17.14,19.75,22.86,13.87
