,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01
Sales,175.0,229.0,301.0,270.0,276.0,302.0,480.0,506.0,192.0,156.0,43.0,35.0
Expenses,149.0,195.0,264.0,218.0,230.0,257.0,431.0,465.0,256.0,246.0,53.0,43.0
Operating Profit,26.0,34.0,38.0,52.0,46.0,46.0,49.0,42.0,-64.0,-91.0,-11.0,-8.0
OPM %,15.0,15.0,13.0,19.0,17.0,15.0,10.0,8.0,-33.0,-58.0,-25.0,-23.0
Other Income,-4.0,0.0,0.0,-6.0,-8.0,-1.0,2.0,1.0,0.0,-35.0,0.0,0.0
Interest,10.0,16.0,20.0,23.0,23.0,27.0,28.0,30.0,31.0,36.0,38.0,29.0
Depreciation,5.0,6.0,7.0,8.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Profit before tax,7.0,13.0,11.0,15.0,9.0,9.0,14.0,4.0,-103.0,-171.0,-57.0,-46.0
Tax %,24.0,33.0,46.0,10.0,-3.0,15.0,22.0,27.0,-2.0,-1.0,0.0,0.0
Net Profit,6.0,8.0,6.0,13.0,9.0,7.0,11.0,3.0,-106.0,-172.0,-57.0,-46.0
EPS in Rs,3.34,4.99,3.6,7.89,4.22,3.24,4.52,1.24,-45.19,-73.5,-24.46,-19.71
