,2010-03-01,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01
Equity Capital,17,17,17,17,22,22,24,24,24,24,24,24
Reserves,48,56,56,69,83,91,104,106,1,-172,-229,-275
Borrowings,123,173,185,196,181,190,198,179,215,269,311,346
Other Liabilities,36,50,56,82,133,124,168,174,97,75,77,82
Total Liabilities,224,296,314,363,420,427,492,484,336,196,183,177
Fixed Assets,111,147,159,156,150,143,129,116,120,111,102,93
CWIP,1,1,0,4,0,0,0,1,0,0,0,0
Investments,1,1,1,1,1,1,1,1,1,0,0,0
Other Assets,112,147,154,202,269,283,363,366,216,85,81,84
Total Assets,224,296,314,363,420,427,492,484,336,196,183,177
