,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,45.0,63.0,76.0,132.0
Expenses,39.0,55.0,61.0,100.0
Operating Profit,6.0,8.0,16.0,32.0
OPM %,13.0,13.0,21.0,24.0
Other Income,1.0,0.0,20.0,1.0
Interest,3.0,3.0,2.0,4.0
Depreciation,2.0,2.0,4.0,7.0
Profit before tax,2.0,3.0,30.0,22.0
Tax %,12.0,29.0,27.0,22.0
Net Profit,2.0,4.0,8.0,17.0
EPS in Rs,4.45,9.84,19.17,18.25
