,2013-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,13,13,13,13,13,12,12,12,12,12
Reserves,352,401,430,592,713,881,1007,1131,1243,1623,1759
Borrowings,434,329,302,171,149,97,10,8,4,0,0
Other Liabilities,320,380,391,343,406,446,419,367,400,443,431
Total Liabilities,1118,1123,1135,1118,1281,1436,1448,1518,1660,2079,2202
Fixed Assets,726,661,638,650,686,685,688,747,828,809,797
CWIP,2,13,50,41,27,23,31,32,14,20,19
Investments,11,43,47,93,108,107,103,152,178,197,233
Other Assets,379,405,399,335,460,621,626,585,640,1054,1153
Total Assets,1118,1123,1135,1118,1281,1436,1448,1518,1660,2079,2202
