,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,16,16,16,16,16,16,16,16,16,16,16,16
Reserves,866,915,980,996,907,882,927,893,927,1089,1162,1388,1456
Borrowings,376,334,297,355,362,359,346,380,578,331,396,286,198
Other Liabilities,1133,1136,1283,1258,1166,1194,1266,1377,1327,1279,1289,1326,1261
Total Liabilities,2390,2401,2576,2625,2450,2451,2555,2666,2848,2715,2862,3016,2931
Fixed Assets,490,533,543,571,501,480,461,457,501,481,532,532,600
CWIP,43,17,10,12,6,4,13,25,51,73,27,82,46
Investments,2,4,12,0,43,46,49,57,104,195,333,317,302
Other Assets,1856,1847,2011,2042,1901,1921,2031,2127,2191,1966,1970,2085,1983
Total Assets,2390,2401,2576,2625,2450,2451,2555,2666,2848,2715,2862,3016,2931
