,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.21,2.14,5.36,7.88,8.79,13.76,10.86
Expenses,0.18,1.96,5.02,7.53,8.21,12.96,10.12
Operating Profit,0.03,0.18,0.34,0.35,0.58,0.8,0.74
OPM %,14.29,8.41,6.34,4.44,6.6,5.81,6.81
Other Income,0.0,0.0,0.02,0.03,0.03,0.03,0.08
Interest,0.02,0.01,0.01,0.06,0.13,0.31,0.41
Depreciation,0.0,0.02,0.01,0.03,0.04,0.05,0.06
Profit before tax,0.01,0.15,0.34,0.29,0.44,0.47,0.35
Tax %,0.0,26.67,14.71,20.69,22.73,29.79,22.86
Net Profit,0.01,0.11,0.28,0.22,0.33,0.34,0.27
EPS in Rs,0.5,0.28,0.47,0.37,0.55,0.57,0.45
