,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.12,0.12,2.02,3.01,3.01,6.02
Reserves,0.0,,,0.8200000000000001,4.78,5.46,2.72
Borrowings,0.0,,,0.12,1.99,4.09,3.58
Other Liabilities,0.0,,,0.67,1.53,1.64,1.05
Total Liabilities,0.01,,,3.63,11.31,14.2,13.37
Fixed Assets,0.0,,,0.19,1.59,1.6800000000000002,2.01
CWIP,0.0,,,0.0,0.0,0.0,0.0
Investments,0.0,,,0.0,0.0,0.0,0.0
Other Assets,0.01,,,3.44,9.72,12.52,11.36
Total Assets,0.01,,,3.63,11.31,14.2,13.37
