,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.06,0.73,2.35,13.24,22.55,24.62
Expenses,0.0,0.06,0.68,2.14,12.5,21.18,23.08
Operating Profit,0.0,0.00,0.05,0.21,0.74,1.37,1.54
OPM %,,0.00,6.85,8.94,5.59,6.08,6.26
Other Income,0.0,0.00,0.0,0.0,0.05,0.07,0.11
Interest,0.0,0.00,0.0,0.03,0.12,0.44,0.72
Depreciation,0.0,0.00,0.0,0.02,0.05,0.09,0.11
Profit before tax,0.0,0.00,0.05,0.16,0.62,0.91,0.82
Tax %,,,40.0,25.0,19.35,25.27,
Net Profit,0.0,0.00,0.03,0.12,0.5,0.67,0.61
EPS in Rs,,0.00,1.5,0.3,0.83,1.12,1.02
