,Mar 2019,Mar 2020,Mar 2022,Mar 2023,TTM
Sales,45.18,49.1,80.41,95.33,92.59
Expenses,42.74,47.04,73.21,88.11,86.81
Operating Profit,2.44,2.06,7.2,7.22,5.78
OPM %,5.4,4.2,8.95,7.57,6.24
Other Income,0.28,0.81,0.72,1.82,2.26
Interest,1.26,1.59,1.42,2.51,2.96
Depreciation,0.71,0.77,1.01,1.4,1.98
Profit before tax,0.75,0.51,5.49,5.13,3.10
Tax %,49.33,43.14,20.4,26.51,
Net Profit,0.37,0.3,4.37,3.77,2.23
EPS in Rs,0.24,0.19,2.69,1.33,1.04
