,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,27.22,26.41,21.87,19.89,23.29,27.54
Expenses,25.23,24.46,20.32,18.36,21.59,26.54
Operating Profit,1.99,1.95,1.55,1.53,1.7,1.0
OPM %,7.31,7.38,7.09,7.69,7.3,3.63
Other Income,0.37,0.22,0.71,0.52,0.54,0.49
Interest,0.36,0.44,0.7,0.72,0.79,0.75
Depreciation,0.28,0.29,0.29,0.54,0.58,0.57
Profit before tax,1.72,1.44,1.27,0.79,0.87,0.17
Tax %,27.33,24.31,20.47,36.71,31.03,29.41
Net Profit,1.25,1.09,1.01,0.5,0.61,0.11
EPS in Rs,0.71,0.65,0.58,0.22,0.2,0.04
