,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1
Reserves,-0.42,106.57,106.67,107.69,107.52,108.86,110.16,110.7,110.83
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.02,1.21,1.23,1.56,1.24,6.22,0.95,0.9,1.3
Total Liabilities,2.7,110.88,111.0,112.35,111.86,118.18,114.21,114.7,115.23
Fixed Assets,0.01,0.01,0.01,0.18,0.18,0.18,0.3,0.66,1.71
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.59,84.54,66.13,106.17,107.1,98.88,97.84,97.94,98.17
Other Assets,2.1,26.33,44.86,6.0,4.58,19.12,16.07,16.1,15.35
Total Assets,2.7,110.88,111.0,112.35,111.86,118.18,114.21,114.7,115.23
