,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.37,46.84,47.37,28.95,24.15,25.28,45.73,26.29,28.68,16.82,28.47,35.3,33.20
Expenses,17.95,44.44,44.64,27.45,21.89,23.28,43.17,24.8,28.15,15.78,26.42,32.85,30.36
Operating Profit,1.42,2.4,2.73,1.5,2.26,2.0,2.56,1.49,0.53,1.04,2.05,2.45,2.84
OPM %,7.33,5.12,5.76,5.18,9.36,7.91,5.6,5.67,1.85,6.18,7.2,6.94,8.55
Other Income,0.04,0.28,0.32,0.42,0.0,0.32,0.23,0.12,0.06,0.26,0.1,0.16,0.17
Interest,0.21,0.17,0.24,0.36,0.36,0.37,0.39,0.45,0.56,0.61,0.74,1.11,1.10
Depreciation,0.12,0.25,0.29,0.54,0.6,0.51,0.83,0.86,0.84,0.87,1.26,0.82,0.95
Profit before tax,1.13,2.26,2.52,1.02,1.3,1.44,1.57,0.3,-0.81,-0.18,0.15,0.68,0.96
Tax %,42.48,30.09,31.35,32.35,35.38,36.11,29.3,40.0,25.93,16.67,20.0,33.82,
Net Profit,0.65,1.58,1.73,0.69,0.85,0.91,1.11,0.19,-0.61,-0.15,0.13,0.45,0.63
EPS in Rs,16.25,39.5,43.25,17.25,21.25,0.18,0.21,0.04,-0.12,-0.03,0.03,0.09,0.12
