,Mar 2010,Mar 2011,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,1.0,10.0,21.0,29.0,36.0,34.0,25.0,35.0,52.0,66.0,76
Expenses,0.0,1.0,5.0,8.0,13.0,18.0,23.0,26.0,25.0,29.0,33.0,37
Operating Profit,0.0,-0.0,5.0,13.0,17.0,18.0,11.0,-1.0,10.0,23.0,33.0,39
OPM %,0.0,-2.0,47.0,61.0,57.0,50.0,32.0,-5.0,29.0,44.0,50.0,52
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1
Interest,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Depreciation,0.0,0.0,3.0,9.0,10.0,10.0,9.0,10.0,12.0,18.0,20.0,16
Profit before tax,-0.0,-0.0,1.0,3.0,6.0,8.0,2.0,-9.0,-1.0,5.0,13.0,23
Tax %,0.0,0.0,34.0,33.0,31.0,29.0,29.0,-0.0,0.0,-22.0,25.0,
Net Profit,-0.0,-0.0,1.0,2.0,4.0,6.0,2.0,-9.0,-1.0,6.0,10.0,17
EPS in Rs,-10.0,-0.4,31.23,82.13,165.37,5.01,1.21,-6.54,-0.86,4.46,6.85,12.08
