,2010-03-01,2011-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,0,12,14,14,14,14,14,14.0
Reserves,0,0,4,6,11,6,19,10,13,24,35,48.0
Preference Capital,0,0,0,0,0,0,0,0,0,0,0,
Borrowings,0,0,2,5,2,0,0,0,4,2,6,23.0
Other Liabilities,0,0,2,2,4,4,4,4,5,7,13,17.0
Total Liabilities,0,1,8,13,18,21,38,28,37,48,68,103.0
Fixed Assets,0,0,7,11,11,10,11,10,26,37,42,55.0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0.0
Investments,0,0,0,0,0,4,18,0,0,0,0,0.0
Other Assets,0,0,1,3,7,7,9,19,10,11,26,48.0
Total Assets,0,1,8,13,18,21,38,28,37,48,68,103.0
