,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,47.75,47.93,47.87,52.83,52.83,52.83,52.69,52.82,52.82
FIIs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.2
DIIs,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0
Public,52.1,51.92,51.98,47.03,47.03,47.03,47.16,47.02,46.99
No. of Shareholders,3059.0,4013.0,5075.0,4618.0,4397.0,4235.0,5453.0,9215.0,9173.0
