,2023-09-01
Depreciation,0.1
EPS in Rs,1.65
Expenses,26.92
Interest,1.06
Net Profit,0.99
OPM %,6.85
Operating Profit,1.98
Other Income,0.21
Profit before tax,1.03
Sales,28.9
Tax %,3.88
