,2023-03-01,2023-09-01
Equity Capital,3,11
Reserves,28,46
Borrowings,34,30
Other Liabilities,16,19
Total Liabilities,81,105
Fixed Assets,7,7
CWIP,0,0
Investments,0,0
Other Assets,74,98
Total Assets,81,105
