,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,172.83,219.71,205.31,151.6
Inventory Days,242.62,248.16,292.89,225.48
Days Payable,209.34,201.81,211.88,151.3
Cash Conversion Cycle,206.11,266.06,286.32,225.78
Working Capital Days,201.23,238.77,233.69,235.58
ROCE %,,8.04,7.43,6.47
