,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.04,6.13,6.56,10.04,11.08
Expenses,5.69,5.62,5.98,9.22,12.63
Operating Profit,0.35,0.51,0.58,0.82,-1.55
OPM %,5.79,8.32,8.84,8.17,-13.99
Other Income,-0.02,0.0,0.09,0.3,0.40
Interest,0.18,0.36,0.34,0.4,0.31
Depreciation,0.07,0.06,0.1,0.31,0.63
Profit before tax,0.08,0.09,0.23,0.41,-2.09
Tax %,37.5,44.44,34.78,26.83,
Net Profit,0.05,0.05,0.16,0.3,-2.02
EPS in Rs,0.69,0.69,0.86,0.29,-1.41
