,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,52.33,60.71,68.28,70.77,39.41,18.77,36.25,40.52
Expenses,49.78,55.18,61.49,63.63,38.54,20.17,35.04,37.50
Operating Profit,2.55,5.53,6.79,7.14,0.87,-1.4,1.21,3.02
OPM %,4.87,9.11,9.94,10.09,2.21,-7.46,3.34,7.45
Other Income,0.05,0.2,0.14,0.15,0.02,2.17,3.94,3.55
Interest,1.61,1.79,2.44,1.96,2.43,2.03,2.96,2.88
Depreciation,0.18,0.18,0.3,0.37,0.42,0.28,0.39,0.64
Profit before tax,0.81,3.76,4.19,4.96,-1.96,-1.54,1.8,3.05
Tax %,20.99,17.55,17.66,14.52,1.53,-3.9,6.11,
Net Profit,0.63,3.09,3.45,4.24,-1.93,-1.6,1.69,2.93
EPS in Rs,9.28,45.53,50.84,4.06,-1.85,-1.53,1.31,2.20
