,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,27.99,42.79,16.49,22.92,7.51,11.26,17.75,18.5,22.02
Expenses,25.82,37.82,17.25,21.29,7.14,13.03,17.94,17.1,20.4
Operating Profit,2.17,4.97,-0.76,1.63,0.37,-1.77,-0.19,1.4,1.62
OPM %,7.75,11.61,-4.61,7.11,4.93,-15.72,-1.07,7.57,7.36
Other Income,0.0,0.15,0.01,0.01,0.14,2.03,1.66,2.28,1.27
Interest,0.78,1.18,0.84,1.59,0.88,1.15,1.41,1.55,1.33
Depreciation,0.15,0.22,0.21,0.21,0.15,0.13,0.08,0.31,0.33
Profit before tax,1.24,3.72,-1.8,-0.16,-0.52,-1.02,-0.02,1.82,1.23
Tax %,0.0,0.0,0.0,18.75,0.0,-5.88,0.0,6.04,0.0
Net Profit,1.24,3.71,-1.8,-0.13,-0.51,-1.08,-0.02,1.71,1.22
EPS in Rs,1.65,3.55,-1.72,-0.12,-0.49,-1.03,-0.02,1.32,0.88
