,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,52.2,55.17,56.38,59.22,65.63,63.84,62.77,71.86,64.4
Expenses,43.91,45.78,47.39,48.86,54.57,52.37,51.66,59.12,52.33
Operating Profit,8.29,9.39,8.99,10.36,11.06,11.47,11.11,12.74,12.07
OPM %,15.88,17.02,15.95,17.49,16.85,17.97,17.7,17.73,18.74
Other Income,0.05,0.11,0.17,0.08,0.25,3.32,0.4,0.11,0.36
Interest,0.37,0.46,0.43,0.71,0.92,0.77,0.52,0.36,0.56
Depreciation,1.54,2.02,1.95,1.69,1.98,2.6,3.05,2.15,2.43
Profit before tax,6.43,7.02,6.78,8.04,8.41,11.42,7.94,10.34,9.44
Tax %,25.04,25.21,39.82,25.12,25.92,41.16,31.11,25.15,24.58
Net Profit,4.82,5.25,4.08,6.01,6.24,6.71,5.47,7.74,7.12
EPS in Rs,0.95,1.03,0.8,1.18,1.22,1.32,1.07,1.52,1.4
