,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5
Reserves,92,113,122
Borrowings,30,12,20
Other Liabilities,31,45,38
Total Liabilities,158,174,186
Fixed Assets,50,62,70
CWIP,1,0,7
Investments,0,0,0
Other Assets,107,112,109
Total Assets,158,174,186
