,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,24,24,32,32,32,33,33
Reserves,21,29,49,134,161,248,415,973,1186
Borrowings,21,31,32,106,126,119,201,202,569
Other Liabilities,36,40,55,78,141,462,782,632,632
Total Liabilities,82,104,160,343,460,861,1429,1839,2419
Fixed Assets,8,8,8,35,33,38,53,63,70
CWIP,0,0,0,0,0,0,10,1,0
Investments,2,25,39,42,36,67,8,6,57
Other Assets,73,71,112,265,391,756,1358,1769,2292
Total Assets,82,104,160,343,460,861,1429,1839,2419
