,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,74.0,110.0,138.0,206.0,228.0,453.0,862.0,1088.0,1260
Expenses,60.0,93.0,110.0,154.0,156.0,321.0,558.0,595.0,665
Operating Profit,14.0,17.0,28.0,51.0,73.0,132.0,304.0,493.0,595
OPM %,19.0,16.0,20.0,25.0,32.0,29.0,35.0,45.0,47
Other Income,0.0,0.0,2.0,1.0,0.0,1.0,2.0,13.0,11
Interest,3.0,3.0,5.0,11.0,18.0,25.0,32.0,58.0,65
Depreciation,2.0,2.0,2.0,5.0,4.0,4.0,9.0,12.0,12
Profit before tax,9.0,12.0,23.0,37.0,51.0,103.0,265.0,436.0,528
Tax %,33.0,35.0,33.0,32.0,21.0,22.0,24.0,24.0,
Net Profit,6.0,8.0,15.0,25.0,41.0,81.0,202.0,331.0,394
EPS in Rs,13.36,16.98,6.16,10.04,12.57,24.85,61.9,101.04,120.61
