,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,13.13,7.5,21.89,13.5
Expenses,0.10,0.06,0.21,0.17,13.03,7.47,23.0,15.1
Operating Profit,-0.10,-0.06,-0.21,-0.17,0.1,0.03,-1.11,-1.6
OPM %,,,,,0.76,0.4,-5.07,-11.85
Other Income,0.03,0.00,0.04,0.09,0.27,0.15,0.17,0.22
Interest,0.00,0.00,0.00,0.02,0.02,0.01,0.03,0.2
Depreciation,0.00,0.00,0.00,0.00,0.0,0.0,0.68,1.09
Profit before tax,-0.07,-0.06,-0.17,-0.10,0.35,0.17,-1.65,-2.67
Tax %,0.00,0.00,52.94,30.00,25.71,17.65,24.85,25.09
Net Profit,-0.08,-0.06,-0.08,-0.07,0.26,0.15,-1.24,-1.99
EPS in Rs,-0.22,-0.16,-0.22,-0.07,0.24,0.14,-1.15,-1.85
