,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.27,3.59,3.37,4.2,4.95,4.76,6.78,1.47,-0.76,0.00,13.13,29.4,35.39
Expenses,4.13,3.47,3.31,4.04,4.87,4.61,6.71,1.66,-0.54,0.28,13.19,30.45,38.10
Operating Profit,0.14,0.12,0.06,0.16,0.08,0.15,0.07,-0.19,-0.22,-0.28,-0.06,-1.05,-2.71
OPM %,3.28,3.34,1.78,3.81,1.62,3.15,1.03,-12.93,,,-0.46,-3.57,-7.66
Other Income,0.00,0.00,0.0,0.03,0.11,0.04,0.06,0.14,0.10,0.05,0.36,0.32,0.39
Interest,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.05,0.01,0.00,0.04,0.07,0.23
Depreciation,0.02,0.03,0.03,0.03,0.04,0.04,0.03,0.0,0.01,0.00,0.0,0.68,1.77
Profit before tax,0.12,0.09,0.03,0.16,0.15,0.15,0.09,-0.1,-0.14,-0.23,0.26,-1.48,-4.32
Tax %,33.33,33.33,33.33,31.25,33.33,33.33,33.33,20.0,0.00,39.13,26.92,26.35,
Net Profit,0.09,0.07,0.02,0.11,0.1,0.11,0.05,-0.08,-0.14,-0.14,0.19,-1.09,-3.23
EPS in Rs,,,0.11,0.58,0.27,0.3,0.14,-0.22,-0.38,-0.38,0.18,-1.01,-3.00
