,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.71,63.04,64.07,55.81,77.54,66.87,39.06,24.96,20.15,29.12
Expenses,8.17,57.4,57.96,50.45,70.78,63.22,36.61,30.19,19.7,28.50
Operating Profit,0.54,5.64,6.11,5.36,6.76,3.65,2.45,-5.23,0.45,0.62
OPM %,6.2,8.95,9.54,9.6,8.72,5.46,6.27,-20.95,2.23,2.13
Other Income,0.0,0.0,-0.08,-0.01,0.17,0.34,0.39,0.11,0.3,0.33
Interest,0.06,1.35,1.08,1.09,1.29,1.03,0.8,0.38,0.05,0.01
Depreciation,0.01,0.24,0.76,0.96,1.12,0.56,0.54,0.48,0.46,0.44
Profit before tax,0.47,4.05,4.19,3.3,4.52,2.4,1.5,-5.98,0.24,0.50
Tax %,31.91,33.09,31.98,35.15,26.11,27.08,27.33,0.84,-25.0,
Net Profit,0.32,2.7,2.85,2.15,3.34,1.74,1.09,-5.93,0.3,0.57
EPS in Rs,320.0,2700.0,11.4,6.19,9.62,5.01,3.14,-17.08,0.86,1.65
