,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,0.01,2.5,3.47,3.47,3.47,3.47,3.47,3.47,3.47
Reserves,0.32,3.04,3.4,10.41,13.75,15.48,16.58,10.65,10.95,11.15
Borrowings,5.95,11.21,8.42,9.24,9.57,7.82,2.95,1.66,0.0,0.0
Other Liabilities,3.89,8.74,8.35,9.01,11.4,8.66,4.59,1.92,2.86,2.99
Total Liabilities,10.17,23.0,22.67,32.13,38.19,35.43,27.59,17.7,17.28,17.61
Fixed Assets,0.41,1.12,2.66,3.8,3.33,2.83,2.29,1.74,1.3,1.11
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.95,0.0,0.01,3.97,7.93,3.14,3.55
Other Assets,9.76,21.88,20.01,27.38,34.86,32.59,21.33,8.03,12.84,12.95
Total Assets,10.17,23.0,22.67,32.13,38.19,35.43,27.59,17.7,17.28,17.61
