,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,31.39,35.48,15.49,23.57,15.29,9.67,6.58,13.57,15.55
Expenses,28.78,34.44,14.52,22.1,16.77,13.49,6.42,13.28,15.22
Operating Profit,2.61,1.04,0.97,1.47,-1.48,-3.82,0.16,0.29,0.33
OPM %,8.31,2.93,6.26,6.24,-9.68,-39.5,2.43,2.14,2.12
Other Income,0.13,0.2,0.2,0.19,0.02,0.16,0.02,0.28,0.05
Interest,0.51,0.51,0.47,0.33,0.17,0.21,0.04,0.01,0.0
Depreciation,0.38,0.19,0.33,0.21,0.24,0.24,0.23,0.23,0.21
Profit before tax,1.85,0.54,0.37,1.12,-1.87,-4.11,-0.09,0.33,0.17
Tax %,25.95,31.48,29.73,26.79,0.53,0.97,33.33,-9.09,-17.65
Net Profit,1.37,0.37,0.26,0.83,-1.86,-4.07,-0.07,0.37,0.2
EPS in Rs,3.95,1.07,0.75,2.39,-5.36,-11.72,-0.2,1.07,0.58
