,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,5,7,7,7,7,7,7,7
Reserves,259,360,440,492,557,635,689,806,852,863
Borrowings,161,110,8,8,90,96,0,73,25,341
Other Liabilities,110,101,102,93,104,98,92,108,251,284
Total Liabilities,535,576,555,600,758,835,787,994,1134,1495
Fixed Assets,188,173,173,172,214,234,227,243,264,254
CWIP,0,1,16,34,40,21,20,12,292,494
Investments,0,2,1,9,0,0,0,0,0,0
Other Assets,347,400,366,385,503,581,540,739,578,747
Total Assets,535,576,555,600,758,835,787,994,1134,1495
