,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,65.0,67.0,94.0,98.0,102.0,109.0,128.0,132.0,133.0,137.0,168.0,175.0
Expenses,44.0,54.0,52.0,56.0,58.0,64.0,73.0,72.0,72.0,78.0,96.0,100.0
Operating Profit,20.0,13.0,42.0,43.0,44.0,45.0,55.0,59.0,61.0,59.0,71.0,75.0
OPM %,32.0,20.0,45.0,43.0,43.0,41.0,43.0,45.0,46.0,43.0,43.0,43.0
Other Income,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0
Interest,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
Depreciation,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Profit before tax,17.0,13.0,39.0,41.0,43.0,43.0,53.0,57.0,58.0,59.0,70.0,76.0
Tax %,26.0,41.0,25.0,26.0,25.0,22.0,25.0,25.0,26.0,26.0,25.0,26.0
Net Profit,13.0,8.0,29.0,30.0,32.0,34.0,39.0,43.0,43.0,43.0,52.0,57.0
EPS in Rs,4.6,2.85,10.59,7.25,7.66,8.18,9.48,10.23,10.29,10.36,12.56,13.57
