,2013-03-01,2014-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,10.84,10.84,10.84
Reserves,74.78,87.94,3.05,50.03,38.66,-63.07,-40.68,-62.87,-48.62,-26.54,-28.42
Preference Capital,15.8,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Borrowings,12.69,15.34,4.03,2.5,13.41,6.94,4.55,7.57,6.52,3.68,3.56
Other Liabilities,26.24,44.21,105.97,77.79,86.87,176.45,123.02,126.79,127.9,129.15,134.28
Total Liabilities,121.15,154.93,120.49,137.76,146.38,127.76,94.33,78.93,96.64,117.13,120.26
Fixed Assets,7.24,7.72,5.78,6.07,5.52,5.03,4.75,4.41,4.05,3.5,3.29
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,52.19,49.16,81.54,100.06,104.51,89.65,59.81,48.76,66.57,80.1,85.76
Other Assets,61.72,98.05,33.17,31.63,36.35,33.08,29.77,25.76,26.02,33.53,31.21
Total Assets,121.15,154.93,120.49,137.76,146.38,127.76,94.33,78.93,96.64,117.13,120.26
