,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,0.14,0.09,0.13,0.12,0.17,0.27,0.34,0.56,0.48,0.34,0.41,0.20,0.11
Operating Profit,-0.14,-0.09,-0.13,-0.12,-0.17,-0.27,-0.34,-0.56,-0.48,-0.34,-0.41,-0.20,-0.11
OPM %,,,,,,,,,,,,,
Other Income,1.08,0.27,0.44,0.50,0.49,5.61,1.11,0.82,1.00,0.67,0.79,0.30,0.98
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.0
Depreciation,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.01,0.0
Profit before tax,0.93,0.17,0.31,0.38,0.32,5.34,0.77,0.26,0.50,0.31,0.36,0.08,0.87
Tax %,8.60,23.53,19.35,26.32,31.25,12.17,85.71,19.23,16.00,19.35,-55.56,37.50,
Net Profit,0.85,0.14,0.24,0.28,0.22,4.68,0.10,0.21,0.42,0.25,0.56,0.05,0.8300000000000001
EPS in Rs,5.67,0.93,1.60,1.87,1.47,31.20,0.67,1.40,2.80,1.67,3.73,0.33,5.53
