,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,100.0,119.0,103.0,175.0,200.0,210
Expenses,93.0,108.0,91.0,148.0,150.0,158
Operating Profit,7.0,10.0,12.0,27.0,51.0,51
OPM %,7.0,9.0,12.0,15.0,25.0,24
Other Income,0.0,0.0,0.0,1.0,0.0,1
Interest,4.0,4.0,4.0,4.0,4.0,7
Depreciation,4.0,5.0,5.0,6.0,6.0,8
Profit before tax,-1.0,1.0,3.0,18.0,41.0,38
Tax %,-53.0,-69.0,8.0,11.0,26.0,
Net Profit,-1.0,2.0,2.0,16.0,30.0,27
EPS in Rs,-0.2,0.35,0.35,2.27,4.28,3.80
