,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,82.72,79.61,73.92,68.81,62.76,52.55
FIIs,4.17,8.0,9.37,10.42,7.5,16.12
DIIs,2.21,1.4,5.95,9.02,17.63,20.66
Public,10.9,10.99,10.76,11.75,12.1,10.67
No. of Shareholders,389062.0,418795.0,464596.0,577010.0,554569.0,497961.0
