,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,94.58,95.11,106.55,105.99,114.09,100.47,109.09
Expenses,88.49,89.21,100.26,100.58,107.69,95.13,102.75
Operating Profit,6.09,5.9,6.29,5.41,6.4,5.34,6.34
OPM %,6.44,6.2,5.9,5.1,5.61,5.32,5.81
Other Income,0.38,1.52,0.17,0.35,0.29,0.36,0.28
Interest,1.35,1.15,1.31,1.73,1.58,1.66,1.76
Depreciation,1.03,0.99,1.0,1.02,1.0,0.93,0.93
Profit before tax,4.09,5.28,4.15,3.01,4.11,3.11,3.93
Tax %,29.58,18.94,25.54,22.92,37.71,26.05,26.46
Net Profit,2.89,4.28,3.1,2.31,2.56,2.31,2.89
EPS in Rs,1.45,2.15,1.56,1.16,1.29,1.16,1.45
