,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,63.31,13.42,25.49,10.69,44.67,21.95,24.33
Expenses,59.94,11.67,23.15,8.52,43.32,19.4,21.62
Operating Profit,3.37,1.75,2.34,2.17,1.35,2.55,2.71
OPM %,5.32,13.04,9.18,20.3,3.02,11.62,11.14
Other Income,0.22,0.07,0.13,0.04,0.79,0.15,0.19
Interest,0.28,1.0,0.68,1.17,0.5,1.3,1.0
Depreciation,0.11,0.08,0.08,0.06,0.07,0.06,0.06
Profit before tax,3.2,0.74,1.71,0.98,1.57,1.34,1.84
Tax %,11.25,21.62,25.15,33.67,21.02,24.63,24.46
Net Profit,2.85,0.59,1.29,0.65,1.23,1.0,1.39
EPS in Rs,3.32,0.69,1.12,0.51,0.97,0.79,1.1
