,2021-03-01,2021-06-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,43.47,50.6,61.19,74.18,65.92,61.08,62.56,92.73,101.06,104.87
Expenses,41.94,50.4,59.66,68.9,64.09,60.13,60.97,88.58,99.17,102.24
Operating Profit,1.53,0.2,1.53,5.28,1.83,0.95,1.59,4.15,1.89,2.63
OPM %,3.52,0.4,2.5,7.12,2.78,1.56,2.54,4.48,1.87,2.51
Other Income,1.98,0.91,0.62,0.22,0.47,1.69,1.0,1.29,1.23,1.85
Interest,0.27,0.64,0.5,0.95,0.42,0.81,0.72,1.01,0.76,0.95
Depreciation,0.64,0.55,0.59,0.58,0.55,0.54,0.54,0.58,0.45,0.49
Profit before tax,2.6,-0.08,1.06,3.97,1.33,1.29,1.33,3.85,1.91,3.04
Tax %,1.92,0.0,33.96,29.47,21.8,16.28,18.8,27.53,25.65,33.22
Net Profit,2.55,-0.07,0.71,2.8,1.04,1.09,1.07,2.79,1.43,2.03
EPS in Rs,0.1,-0.0,0.03,0.11,0.04,0.04,0.04,0.1,0.05,0.08
