,2011-03-01,2012-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,13,18,18,18,18,18,2
Reserves,10,11,28,45,46,47,51,56,60
Borrowings,20,21,45,42,30,31,21,22,46
Other Liabilities,13,8,55,39,39,29,33,22,33
Total Liabilities,47,43,141,144,134,125,124,118,156
Fixed Assets,18,19,23,19,19,17,18,16,16
CWIP,2,0,0,3,3,3,0,3,4
Investments,0,0,2,3,1,1,1,1,0
Other Assets,28,25,116,119,111,104,104,98,137
Total Assets,47,43,141,144,134,125,124,118,156
