,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.68,12.01,5.12,12.4,8.64,5.5,5.93,4.69,5.06,4.67,6.15,6.79
Expenses,3.15,9.69,5.07,9.59,7.06,5.26,5.52,5.35,5.1,4.84,5.64,6.12
Operating Profit,-0.47,2.32,0.05,2.81,1.58,0.24,0.41,-0.66,-0.04,-0.17,0.51,0.67
OPM %,-17.54,19.32,0.98,22.66,18.29,4.36,6.91,-14.07,-0.79,-3.64,8.29,9.87
Other Income,0.04,0.07,0.08,0.1,0.01,0.03,0.1,0.04,0.0,0.15,0.0,0.0
Interest,0.01,0.0,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.03,0.02,0.03
Depreciation,0.18,0.2,0.24,0.25,0.29,0.24,0.26,0.26,0.26,0.31,0.31,0.31
Profit before tax,-0.62,2.19,-0.14,2.63,1.27,0.01,0.22,-0.91,-0.32,-0.36,0.18,0.33
Tax %,4.84,18.72,-14.29,27.76,14.96,1700.0,27.27,12.09,-25.0,8.33,55.56,3.03
Net Profit,-0.6,1.78,-0.16,1.9,1.08,-0.15,0.17,-0.81,-0.4,-0.33,0.08,0.32
EPS in Rs,-0.56,1.67,-0.15,1.78,1.01,-0.14,0.16,-0.76,-0.37,-0.31,0.07,0.3
