,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,13.03,21.44,35.43,20.27,22.35,31.66,20.34,22.67
Expenses,11.62,18.2,29.32,19.91,19.14,26.88,20.68,21.70
Operating Profit,1.41,3.24,6.11,0.36,3.21,4.78,-0.34,0.97
OPM %,10.82,15.11,17.25,1.78,14.36,15.1,-1.67,4.28
Other Income,0.34,0.45,0.95,0.84,0.37,0.23,0.27,0.15
Interest,0.03,0.04,0.08,0.03,0.03,0.22,0.21,0.10
Depreciation,0.25,0.3,0.38,0.43,0.69,1.02,1.09,1.19
Profit before tax,1.47,3.35,6.6,0.74,2.86,3.77,-1.37,-0.17
Tax %,27.21,26.27,25.45,31.08,25.17,29.44,0.0,
Net Profit,1.06,2.47,4.92,0.52,2.15,2.67,-1.37,-0.33
EPS in Rs,1.56,2.63,5.23,0.49,2.01,2.5,-1.28,-0.31
