,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.85,3.93,3.93,10.68,10.68,10.68,10.68,10.68
Reserves,0.91,5.11,10.01,12.68,14.09,15.47,14.11,14.53
Borrowings,0.01,0.28,0.0,0.0,0.0,1.25,1.01,0.87
Other Liabilities,4.14,5.35,7.71,6.23,8.05,8.58,9.91,10.62
Total Liabilities,7.91,14.67,21.65,29.59,32.82,35.98,35.71,36.7
Fixed Assets,1.94,2.99,4.71,9.5,13.12,15.9,19.4,19.05
CWIP,0.0,0.11,0.0,0.17,0.5700000000000001,2.9,0.02,0.0
Investments,0.25,0.18,0.0,0.06,0.05,0.06,0.07,0.07
Other Assets,5.72,11.39,16.94,19.86,19.08,17.12,16.22,17.58
Total Assets,7.91,14.67,21.65,29.59,32.82,35.98,35.71,36.7
