,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.12,0.12,0.12,0.12,0.12,4.0,11.4,13.25,79.69,79.69
Reserves,3.04,0.62,0.53,0.53,-0.39,-3.12,-2.98,10.5,5.48,6.93
Borrowings,4.17,10.54,10.58,9.1,7.19,23.94,25.43,26.49,17.84,15.17
Other Liabilities,0.18,0.18,0.19,0.32,0.18,5.65,5.96,8.76,9.49,15.11
Total Liabilities,7.51,11.46,11.42,10.07,7.1,30.47,39.81,59.0,112.5,116.9
Fixed Assets,3.89,3.89,3.89,3.88,3.88,8.95,8.64,8.29,8.58,10.71
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.02,1.04,1.04,1.04,1.04,1.04,1.04,1.04,0.8300000000000001,0.8300000000000001
Other Assets,3.6,6.53,6.49,5.15,2.18,20.48,30.13,49.67,103.09,105.36
Total Assets,7.51,11.46,11.42,10.07,7.1,30.47,39.81,59.0,112.5,116.9
