,2011-03-01,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,,,,-11.92,-7.02,-14.44,-44.26
Cash from Investing Activity,,,,,,-1.6,-0.17,-0.1,-0.73
Cash from Financing Activity,,,,,,13.57,7.23,14.47,45.15
Net Cash Flow,,,,,,0.05,0.04,-0.07,0.16
